Public ID,Availability,Organization,System Name,Accelerator Model Name,Accelerators Per Node,Host Processor Model Name,Host Processors Per Node,Benchmark,Model MLC,Units (copy),Units,Accelerator Model Name,Accelerators Per Node,Accuracy,Availability,Host Processor Core Count,Host Processor Model Name,Number Of Nodes,Units,Avg. Result at System Name,Total Accelerators
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,resnet,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,kJ,"7,757.11",64
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,resnet,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Latency (In minutes),2.554,64
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,kJ,"21,492.65",64
4.0-0096,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Latency (In minutes),6.314,64
4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,llama2_70b_lora,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,kJ,"20,644.28",64
4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,llama2_70b_lora,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Latency (In minutes),5.488,64
4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,resnet,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,kJ,"7,867.17",64
4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,resnet,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Latency (In minutes),2.554,64
4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,kJ,"21,762.09",64
4.0-0092,Available Cloud,Sustainable Metal Cloud,SMC-H100-AC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,ssd,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,8,Latency (In minutes),6.314,64
4.0-0097,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,unet3d,kJ,kJ,NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,9,kJ,"5,914.75",72
4.0-0097,Available Cloud,Sustainable Metal Cloud,SMC-H100-DC-Power,NVIDIA H100-SXM5-80GB,8,Intel(R) Xeon(R) Platinum 8462Y+,2,Training,unet3d,Latency (In minutes),Latency (In minutes),NVIDIA H100-SXM5-80GB,8,,Available Cloud,32,Intel(R) Xeon(R) Platinum 8462Y+,9,Latency (In minutes),1.828,72
